ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;AE_OS;IF_OS;LOF_OS;AE_IOS;IF_IOS;LOF_IOS;subsequences;subsequences %;times;method;best cf index;order;dataset
43;195.0;0.3155339805825243;159.98580000000004;14.231965883882667;0.5159662365913391;True;;0.36093261687442224;0.08463170828830084;0.01748359515109529;0.017455152599051782;0.0;0.0;35.0;0.11326860841423948;519.4532816410065;DiscoX;0;4;Epilepsy
44;;;;;;False;;;;;;;;;;1754.944261789322;DiscoX;0;4;Epilepsy
45;;;;;;False;;;;;;;;;;1710.6799824237823;DiscoX;0;4;Epilepsy
48;344.0;0.5566343042071198;128.69469999999998;9.963220629394895;0.5081925988197327;True;;0.38943910691129513;-0.05746521086799911;0.004192936545559807;0.13722729467256806;0.0;0.0;102.0;0.3300970873786408;281.9132180213928;DiscoX;0;4;Epilepsy
49;;;;;;False;;;;;;;;;;1162.7143683433533;DiscoX;0;4;Epilepsy
50;;;;;;False;;;;;;;;;;1237.182934999466;DiscoX;0;4;Epilepsy
51;;;;;;False;;;;;;;;;;1756.3151760101318;DiscoX;0;4;Epilepsy
52;171.0;0.2766990291262136;189.0240000000001;15.701927565748106;0.5050220489501953;True;;0.3640054417964592;0.007354045595401287;0.004144393412602742;0.10684962776515927;0.0;0.0;1.0;0.003236245954692557;583.8386151790619;DiscoX;0;4;Epilepsy
53;110.0;0.1779935275080906;63.45360000000003;7.655999811912226;0.5197427868843079;True;;0.5118735746235824;0.057238885972194946;0.008061075109653279;0.0;0.04479379420101254;0.0;30.0;0.0970873786407767;1738.0879156589508;DiscoX;0;4;Epilepsy
54;;;;;;False;;;;;;;;;;2127.5890231132507;DiscoX;0;4;Epilepsy
56;;;;;;False;;;;;;;;;;1147.2511191368103;DiscoX;0;4;Epilepsy
57;;;;;;False;;;;;;;;;;862.3404788970947;DiscoX;0;4;Epilepsy
58;;;;;;False;;;;;;;;;;1415.9177820682526;DiscoX;0;4;Epilepsy
59;;;;;;False;;;;;;;;;;1741.5346953868866;DiscoX;0;4;Epilepsy
61;;;;;;False;;;;;;;;;;1365.7936942577362;DiscoX;0;4;Epilepsy
62;;;;;;False;;;;;;;;;;3026.0711810588837;DiscoX;0;4;Epilepsy
63;;;;;;False;;;;;;;;;;1153.2159051895142;DiscoX;0;4;Epilepsy
66;187.0;0.30258899676375406;192.29000000000008;15.560977334345043;0.5014442801475525;True;;0.42903704744357923;0.04478273625639281;0.0168116073001018;0.1618659362686759;0.0;0.0;6.0;0.019417475728155338;350.1162986755371;DiscoX;0;4;Epilepsy
67;207.0;0.33495145631067963;199.91600000000008;15.981629604017238;0.5186557769775391;True;;0.47909458050959247;0.10944923489904455;0.008042190830945775;0.14187135397584255;0.010026596861736348;0.0;9.0;0.02912621359223301;372.52801609039307;DiscoX;0;4;Epilepsy
68;192.0;0.3106796116504854;220.2460000000001;20.38443107864432;0.49148350954055786;True;;0.5320580628097366;0.07257401743486314;0.018046324048290024;0.23912352204232817;0.0;0.0;36.0;0.11650485436893204;1465.1826612949371;DiscoX;0;4;Epilepsy
69;187.0;0.30258899676375406;216.68760000000012;18.949398365119677;0.4499441683292389;True;;0.5554831313036657;0.1455148062414577;0.0021507056435699696;0.16080748251275173;0.017195463875070927;0.0;3.0;0.009708737864077669;1919.41574883461;DiscoX;0;4;Epilepsy
